,time,median_length,median_delay_seconds,median_regular_speed,median_seconds,median_speed,median_jam_level
180,2022-07-07 17:00:00,2218.0,994.5,11.684999,1168.0,6.83,4.0
190,2022-07-07 18:00:00,2218.0,684.0,13.19,857.0,9.19,4.0
208,2022-07-07 18:00:00,2218.0,620.5,13.64,793.5,10.05,3.0
210,2022-07-07 19:00:00,5091.0,1144.0,17.26,1612.0,11.36,3.0
211,2022-07-07 19:00:00,2070.0,1050.5,12.88,1212.5,6.34,4.0
230,2022-07-07 20:00:00,1836.5,528.5,12.8,669.5,9.87,3.0
231,2022-07-07 20:00:00,1685.0,588.0,11.98,721.0,8.59,4.0
244,2022-07-07 21:00:00,1685.0,390.0,18.78,537.0,11.65,3.0
248,2022-07-07 21:00:00,1639.0,635.5,15.48,768.0,8.075001,4.0
249,2022-07-07 22:00:00,1171.0,257.5,22.265,375.5,12.88,3.0
250,2022-07-07 22:00:00,1144.0,348.0,21.34,445.0,8.83,4.0
361,2022-07-08 20:00:00,2218.0,959.0,10.72,1118.0,6.96,4.0
385,2022-07-08 21:00:00,4452.0,1081.0,16.27,1494.0,10.72,3.0
386,2022-07-08 21:00:00,1937.0,858.0,12.5,1006.0,6.88,4.0
397,2022-07-08 22:00:00,1489.0,385.0,22.47,501.0,10.36,3.0
398,2022-07-08 22:00:00,1710.5,724.0,15.379999,857.5,7.685,4.0
402,2022-07-08 23:00:00,1110.0,361.0,22.54,451.0,8.62,4.0
403,2022-07-08 23:00:00,1655.0,237.0,31.95,406.0,16.27,3.0
857,2022-07-15 17:00:00,790.0,669.0,8.98,744.0,3.82,4.0
887,2022-07-15 18:00:00,796.0,591.0,10.985,684.0,5.075,4.0
936,2022-07-15 20:00:00,2061.0,986.0,11.26,1158.0,6.4449997,4.0
963,2022-07-15 21:00:00,3689.0,906.0,14.55,1247.0,10.64,3.0
964,2022-07-15 21:00:00,2061.0,1025.0,12.12,1193.0,6.44,4.0
972,2022-07-15 22:00:00,3117.0,524.5,23.59,815.0,13.44,3.0
973,2022-07-15 22:00:00,1937.0,883.0,14.57,1036.0,7.64,4.0
987,2022-07-15 23:00:00,1144.0,172.0,25.08,263.0,13.37,3.0
988,2022-07-15 23:00:00,1335.0,450.5,21.345001,555.5,8.65,4.0
1009,2022-07-16 11:00:00,1574.0,717.0,24.03,847.0,6.68,4.0
1033,2022-07-16 12:00:00,1574.0,454.0,24.67,582.0,10.08,3.0
1034,2022-07-16 12:00:00,1574.0,632.0,23.17,762.0,7.425,4.0
1099,2022-07-16 13:00:00,2819.0,731.0,21.64,972.0,10.205,3.0
1100,2022-07-16 13:00:00,1174.0,713.0,9.58,851.0,6.97,4.0
1138,2022-07-16 14:00:00,1574.0,469.0,21.89,599.0,12.22,3.0
1139,2022-07-16 14:00:00,1574.0,621.5,19.215,751.5,7.865,4.0
1188,2022-07-16 15:00:00,1574.0,462.0,23.1,592.0,9.83,3.0
1189,2022-07-16 15:00:00,2218.0,974.0,9.17,1147.0,6.9300003,4.0
1239,2022-07-16 16:00:00,2218.0,1174.5,9.44,1347.0,5.92,4.0
1288,2022-07-16 17:00:00,2218.0,1017.0,9.25,1189.0,6.71,4.0
1322,2022-07-16 18:00:00,2218.0,1312.0,8.695,1484.0,5.38,4.0
1371,2022-07-16 20:00:00,1593.0,777.0,11.16,917.0,6.53,4.0
1386,2022-07-16 21:00:00,1628.0,712.0,12.38,832.0,6.85,4.0
1397,2022-07-16 22:00:00,1335.0,341.0,19.5,446.0,10.77,3.0
1401,2022-07-16 22:00:00,1335.0,776.0,14.55,881.0,6.82,4.0
1405,2022-07-16 22:00:00,1880.0,178.0,28.86,306.5,20.7,2.0
1488,2022-07-17 14:00:00,2061.0,863.0,13.19,1020.0,7.26,4.0
1532,2022-07-17 15:00:00,2061.0,810.5,13.755,953.5,6.62,4.0
1559,2022-07-17 16:00:00,1685.0,476.0,12.22,604.5,10.455,3.0
1560,2022-07-17 16:00:00,1685.0,724.5,12.255,851.5,7.38,4.0
1568,2022-07-17 17:00:00,1937.0,743.0,11.82,877.0,7.6,4.0
1581,2022-07-17 17:00:00,3062.0,713.5,13.9,1004.5,10.95,3.0
