time,type
2022-08-06 04:00:00,WEATHERHAZARD
2022-08-06 05:00:00,WEATHERHAZARD
2022-08-06 09:00:00,JAM
2022-08-06 10:00:00,JAM
2022-08-06 13:00:00,JAM
2022-08-06 14:00:00,JAM
2022-08-06 17:00:00,JAM
2022-08-06 17:00:00,WEATHERHAZARD
2022-08-06 18:00:00,JAM
2022-08-06 19:00:00,JAM
2022-08-07 19:00:00,JAM
2022-08-08 06:00:00,JAM
2022-08-08 07:00:00,JAM
2022-08-09 10:00:00,ACCIDENT
2022-08-09 11:00:00,ACCIDENT
2022-08-09 16:00:00,JAM
2022-08-09 17:00:00,JAM
2022-08-10 06:00:00,JAM
2022-08-10 06:00:00,WEATHERHAZARD
2022-08-10 07:00:00,WEATHERHAZARD
2022-08-10 08:00:00,JAM
2022-08-11 06:00:00,JAM
2022-08-11 07:00:00,JAM
2022-08-11 08:00:00,JAM
2022-08-11 11:00:00,JAM
2022-08-11 15:00:00,ACCIDENT
2022-08-11 16:00:00,ACCIDENT
2022-08-12 11:00:00,JAM
2022-08-12 12:00:00,JAM
2022-08-12 13:00:00,JAM
2022-08-12 14:00:00,JAM
2022-08-12 21:00:00,JAM
2022-08-13 11:00:00,JAM
2022-08-13 14:00:00,JAM
2022-08-13 16:00:00,JAM
2022-08-13 17:00:00,JAM
2022-08-14 16:00:00,JAM
2022-08-14 19:00:00,WEATHERHAZARD
2022-08-14 20:00:00,WEATHERHAZARD
2022-08-15 05:00:00,JAM
2022-08-15 06:00:00,JAM
2022-08-15 17:00:00,JAM
2022-08-15 18:00:00,JAM
2022-08-16 09:00:00,JAM
2022-08-16 10:00:00,JAM
2022-08-16 11:00:00,ACCIDENT
2022-08-16 21:00:00,JAM
2022-08-18 06:00:00,JAM
2022-08-18 07:00:00,JAM
2022-08-18 19:00:00,JAM
2022-08-18 20:00:00,JAM
2022-08-19 06:00:00,JAM
2022-08-19 07:00:00,JAM
2022-08-20 08:00:00,JAM
2022-08-20 16:00:00,JAM
2022-08-20 17:00:00,JAM
2022-08-21 17:00:00,JAM
2022-08-22 06:00:00,JAM
2022-08-22 07:00:00,JAM
2022-08-22 08:00:00,JAM
2022-08-22 10:00:00,JAM
2022-08-22 11:00:00,JAM
2022-08-22 16:00:00,JAM
2022-08-22 17:00:00,JAM
2022-08-22 18:00:00,JAM
2022-08-22 19:00:00,JAM
2022-08-23 05:00:00,JAM
2022-08-23 05:00:00,WEATHERHAZARD
2022-08-23 06:00:00,JAM
2022-08-23 06:00:00,WEATHERHAZARD
2022-08-23 07:00:00,JAM
2022-08-23 07:00:00,WEATHERHAZARD
2022-08-23 18:00:00,JAM
2022-08-23 18:00:00,WEATHERHAZARD
2022-08-23 19:00:00,JAM
2022-08-23 19:00:00,WEATHERHAZARD
2022-08-24 20:00:00,JAM
2022-08-25 06:00:00,JAM
2022-08-25 06:00:00,WEATHERHAZARD
2022-08-25 07:00:00,JAM
2022-08-25 07:00:00,WEATHERHAZARD
2022-08-25 08:00:00,WEATHERHAZARD
2022-08-25 15:00:00,JAM
2022-08-25 16:00:00,JAM
2022-08-25 17:00:00,JAM
2022-08-25 23:00:00,JAM
2022-08-26 00:00:00,JAM
2022-08-26 06:00:00,JAM
2022-08-26 07:00:00,JAM
2022-08-26 12:00:00,WEATHERHAZARD
2022-08-26 13:00:00,WEATHERHAZARD
2022-08-26 18:00:00,JAM
2022-08-26 19:00:00,JAM
2022-08-27 09:00:00,JAM
2022-08-27 11:00:00,JAM
2022-08-27 12:00:00,JAM
2022-08-27 13:00:00,JAM
2022-08-27 14:00:00,JAM
2022-08-27 15:00:00,JAM
2022-08-28 16:00:00,JAM
2022-08-28 17:00:00,JAM
2022-08-28 19:00:00,JAM
2022-08-28 20:00:00,JAM
2022-08-28 21:00:00,JAM
2022-08-29 05:00:00,JAM
2022-08-29 06:00:00,JAM
2022-08-29 15:00:00,JAM
2022-08-29 17:00:00,JAM
2022-08-29 18:00:00,JAM
2022-08-30 06:00:00,JAM
2022-08-30 07:00:00,JAM
2022-08-30 08:00:00,JAM
2022-08-30 09:00:00,JAM
2022-08-30 16:00:00,JAM
2022-08-31 06:00:00,JAM
2022-08-31 07:00:00,JAM
2022-08-31 15:00:00,JAM
2022-08-31 16:00:00,JAM
2022-09-01 05:00:00,JAM
2022-09-02 20:00:00,JAM
2022-09-03 10:00:00,ACCIDENT
2022-09-03 10:00:00,JAM
2022-09-03 11:00:00,ACCIDENT
2022-09-03 12:00:00,ACCIDENT
2022-09-03 15:00:00,JAM
2022-09-03 16:00:00,JAM
2022-09-03 17:00:00,JAM
2022-09-03 18:00:00,JAM
2022-09-03 19:00:00,JAM
2022-09-03 20:00:00,JAM
2022-09-03 21:00:00,JAM
2022-09-04 10:00:00,WEATHERHAZARD
2022-09-04 11:00:00,WEATHERHAZARD
2022-09-04 12:00:00,WEATHERHAZARD
2022-09-04 13:00:00,JAM
2022-09-04 13:00:00,WEATHERHAZARD
2022-09-04 16:00:00,JAM
2022-09-04 17:00:00,JAM
2022-09-04 18:00:00,JAM
2022-09-04 19:00:00,JAM
2022-09-04 20:00:00,JAM
2022-09-04 21:00:00,JAM
2022-09-04 22:00:00,JAM
