time,type
2022-07-06 16:00:00,JAM
2022-07-06 17:00:00,ACCIDENT
2022-07-06 17:00:00,JAM
2022-07-06 18:00:00,JAM
2022-07-06 19:00:00,JAM
2022-07-06 20:00:00,JAM
2022-07-06 21:00:00,WEATHERHAZARD
2022-07-06 22:00:00,WEATHERHAZARD
2022-07-07 08:00:00,WEATHERHAZARD
2022-07-07 09:00:00,JAM
2022-07-07 09:00:00,WEATHERHAZARD
2022-07-07 10:00:00,JAM
2022-07-07 11:00:00,JAM
2022-07-07 14:00:00,JAM
2022-07-07 15:00:00,JAM
2022-07-07 17:00:00,JAM
2022-07-07 18:00:00,JAM
2022-07-07 19:00:00,JAM
2022-07-07 20:00:00,JAM
2022-07-07 21:00:00,JAM
2022-07-08 07:00:00,JAM
2022-07-08 15:00:00,JAM
2022-07-08 16:00:00,JAM
2022-07-08 17:00:00,JAM
2022-07-08 18:00:00,JAM
2022-07-08 19:00:00,JAM
2022-07-08 22:00:00,WEATHERHAZARD
2022-07-09 14:00:00,JAM
2022-07-09 15:00:00,JAM
2022-07-09 16:00:00,JAM
2022-07-09 17:00:00,JAM
2022-07-09 18:00:00,JAM
2022-07-09 19:00:00,JAM
2022-07-09 20:00:00,JAM
2022-07-09 22:00:00,JAM
2022-07-09 23:00:00,JAM
2022-07-10 16:00:00,JAM
2022-07-10 19:00:00,JAM
2022-07-10 20:00:00,JAM
2022-07-10 21:00:00,JAM
2022-07-11 06:00:00,JAM
2022-07-11 07:00:00,JAM
2022-07-11 12:00:00,JAM
2022-07-11 13:00:00,JAM
2022-07-11 14:00:00,JAM
2022-07-11 18:00:00,JAM
2022-07-11 19:00:00,JAM
2022-07-11 20:00:00,JAM
2022-07-12 06:00:00,JAM
2022-07-12 06:00:00,WEATHERHAZARD
2022-07-12 07:00:00,JAM
2022-07-12 07:00:00,WEATHERHAZARD
2022-07-12 08:00:00,JAM
2022-07-12 19:00:00,JAM
2022-07-12 20:00:00,JAM
2022-07-13 06:00:00,JAM
2022-07-13 07:00:00,JAM
2022-07-13 13:00:00,JAM
2022-07-13 14:00:00,JAM
2022-07-13 15:00:00,JAM
2022-07-13 16:00:00,ACCIDENT
2022-07-13 16:00:00,JAM
2022-07-13 17:00:00,ACCIDENT
2022-07-13 18:00:00,ACCIDENT
2022-07-13 18:00:00,JAM
2022-07-13 19:00:00,JAM
2022-07-13 20:00:00,JAM
2022-07-13 21:00:00,JAM
2022-07-14 06:00:00,JAM
2022-07-14 06:00:00,WEATHERHAZARD
2022-07-14 07:00:00,JAM
2022-07-14 07:00:00,WEATHERHAZARD
2022-07-14 09:00:00,JAM
2022-07-14 10:00:00,JAM
2022-07-14 15:00:00,JAM
2022-07-14 16:00:00,JAM
2022-07-14 17:00:00,JAM
2022-07-14 18:00:00,JAM
2022-07-14 19:00:00,JAM
2022-07-14 20:00:00,JAM
2022-07-14 21:00:00,JAM
2022-07-15 06:00:00,JAM
2022-07-15 06:00:00,WEATHERHAZARD
2022-07-15 07:00:00,JAM
2022-07-15 07:00:00,WEATHERHAZARD
2022-07-15 09:00:00,JAM
2022-07-15 10:00:00,JAM
2022-07-15 14:00:00,JAM
2022-07-15 15:00:00,JAM
2022-07-15 17:00:00,JAM
2022-07-15 18:00:00,JAM
2022-07-15 18:00:00,WEATHERHAZARD
2022-07-15 19:00:00,JAM
2022-07-15 19:00:00,WEATHERHAZARD
2022-07-15 20:00:00,JAM
2022-07-15 21:00:00,JAM
2022-07-15 22:00:00,JAM
2022-07-15 23:00:00,JAM
2022-07-15 23:00:00,WEATHERHAZARD
2022-07-16 00:00:00,ACCIDENT
2022-07-16 00:00:00,JAM
2022-07-16 01:00:00,ACCIDENT
2022-07-16 02:00:00,ACCIDENT
2022-07-16 09:00:00,JAM
2022-07-16 10:00:00,JAM
2022-07-16 11:00:00,JAM
2022-07-16 12:00:00,JAM
2022-07-16 13:00:00,JAM
2022-07-16 15:00:00,JAM
2022-07-16 16:00:00,JAM
2022-07-16 17:00:00,JAM
2022-07-16 18:00:00,JAM
2022-07-16 19:00:00,JAM
2022-07-16 21:00:00,JAM
2022-07-16 22:00:00,JAM
2022-07-16 23:00:00,JAM
2022-07-17 11:00:00,JAM
2022-07-17 12:00:00,JAM
2022-07-17 13:00:00,JAM
2022-07-17 14:00:00,JAM
2022-07-17 14:00:00,WEATHERHAZARD
2022-07-17 15:00:00,JAM
2022-07-17 15:00:00,WEATHERHAZARD
2022-07-17 16:00:00,JAM
2022-07-17 17:00:00,JAM
2022-07-17 18:00:00,JAM
2022-07-17 20:00:00,JAM
2022-07-17 21:00:00,JAM
2022-07-17 22:00:00,JAM
2022-07-18 05:00:00,JAM
2022-07-18 06:00:00,JAM
2022-07-18 07:00:00,JAM
2022-07-18 08:00:00,JAM
2022-07-18 09:00:00,JAM
2022-07-18 10:00:00,JAM
2022-07-18 15:00:00,JAM
2022-07-18 16:00:00,JAM
2022-07-18 17:00:00,JAM
2022-07-18 18:00:00,JAM
2022-07-18 19:00:00,JAM
2022-07-18 19:00:00,WEATHERHAZARD
2022-07-18 20:00:00,JAM
2022-07-18 20:00:00,WEATHERHAZARD
2022-07-18 21:00:00,WEATHERHAZARD
2022-07-18 22:00:00,WEATHERHAZARD
2022-07-18 23:00:00,WEATHERHAZARD
2022-07-19 00:00:00,WEATHERHAZARD
2022-07-19 01:00:00,WEATHERHAZARD
2022-07-19 02:00:00,WEATHERHAZARD
2022-07-19 03:00:00,WEATHERHAZARD
2022-07-19 04:00:00,WEATHERHAZARD
2022-07-19 06:00:00,JAM
2022-07-19 06:00:00,WEATHERHAZARD
2022-07-19 07:00:00,JAM
2022-07-19 16:00:00,JAM
2022-07-19 17:00:00,JAM
2022-07-19 18:00:00,JAM
2022-07-20 06:00:00,JAM
2022-07-20 07:00:00,JAM
2022-07-20 08:00:00,JAM
2022-07-20 10:00:00,JAM
2022-07-20 11:00:00,JAM
2022-07-20 13:00:00,JAM
2022-07-20 14:00:00,JAM
2022-07-20 16:00:00,JAM
2022-07-20 17:00:00,JAM
2022-07-20 18:00:00,JAM
2022-07-20 19:00:00,JAM
2022-07-21 06:00:00,JAM
2022-07-21 07:00:00,JAM
2022-07-21 08:00:00,JAM
2022-07-21 15:00:00,JAM
2022-07-21 19:00:00,JAM
2022-07-21 20:00:00,JAM
2022-07-21 20:00:00,WEATHERHAZARD
2022-07-21 21:00:00,JAM
2022-07-21 21:00:00,WEATHERHAZARD
2022-07-21 22:00:00,WEATHERHAZARD
2022-07-22 06:00:00,JAM
2022-07-22 07:00:00,JAM
2022-07-22 08:00:00,JAM
2022-07-22 11:00:00,JAM
2022-07-22 12:00:00,JAM
2022-07-22 17:00:00,JAM
2022-07-22 18:00:00,JAM
2022-07-22 19:00:00,JAM
2022-07-22 20:00:00,JAM
2022-07-23 10:00:00,JAM
2022-07-23 10:00:00,WEATHERHAZARD
2022-07-23 11:00:00,JAM
2022-07-23 11:00:00,WEATHERHAZARD
2022-07-23 13:00:00,JAM
2022-07-23 14:00:00,JAM
2022-07-23 15:00:00,JAM
2022-07-23 16:00:00,JAM
2022-07-23 17:00:00,JAM
2022-07-23 19:00:00,JAM
2022-07-23 20:00:00,JAM
2022-07-23 21:00:00,JAM
2022-07-23 23:00:00,JAM
2022-07-23 23:00:00,WEATHERHAZARD
2022-07-24 00:00:00,JAM
2022-07-24 00:00:00,WEATHERHAZARD
2022-07-24 12:00:00,JAM
2022-07-24 13:00:00,JAM
2022-07-24 14:00:00,JAM
2022-07-24 15:00:00,JAM
2022-07-24 16:00:00,JAM
2022-07-24 19:00:00,JAM
2022-07-24 20:00:00,JAM
2022-07-24 21:00:00,JAM
2022-07-24 22:00:00,JAM
2022-07-24 22:00:00,WEATHERHAZARD
2022-07-24 23:00:00,JAM
2022-07-25 00:00:00,JAM
2022-07-25 05:00:00,JAM
2022-07-25 06:00:00,JAM
2022-07-25 06:00:00,WEATHERHAZARD
2022-07-25 07:00:00,JAM
2022-07-25 07:00:00,WEATHERHAZARD
2022-07-25 08:00:00,JAM
2022-07-25 09:00:00,JAM
2022-07-25 14:00:00,JAM
2022-07-25 15:00:00,JAM
2022-07-25 16:00:00,JAM
2022-07-26 05:00:00,JAM
2022-07-26 06:00:00,JAM
2022-07-26 07:00:00,JAM
2022-07-26 14:00:00,JAM
2022-07-26 15:00:00,JAM
2022-07-26 16:00:00,JAM
2022-07-26 19:00:00,JAM
2022-07-26 21:00:00,JAM
2022-07-27 06:00:00,JAM
2022-07-27 07:00:00,JAM
2022-07-27 08:00:00,JAM
2022-07-27 09:00:00,JAM
2022-07-27 10:00:00,JAM
2022-07-27 11:00:00,JAM
2022-07-27 16:00:00,JAM
2022-07-27 17:00:00,JAM
2022-07-27 18:00:00,JAM
2022-07-27 19:00:00,JAM
2022-07-28 06:00:00,JAM
2022-07-28 07:00:00,JAM
2022-07-28 08:00:00,JAM
2022-07-28 11:00:00,JAM
2022-07-28 13:00:00,JAM
2022-07-28 15:00:00,JAM
2022-07-28 16:00:00,JAM
2022-07-28 16:00:00,WEATHERHAZARD
2022-07-28 17:00:00,JAM
2022-07-28 18:00:00,JAM
2022-07-28 19:00:00,JAM
