,time,median_length,median_delay_seconds,median_regular_speed,median_seconds,median_speed,median_jam_level
3188,2022-07-29 20:00:00,1269.0,518.0,29.09,615.0,7.42,4.0
3386,2022-07-31 15:00:00,1849.0,584.0,23.42,731.0,9.1,4.0
3388,2022-07-31 15:00:00,1628.0,315.0,21.48,459.0,13.41,3.0
3391,2022-07-31 16:00:00,1359.0,258.0,17.34,365.5,13.365,3.0
3413,2022-07-31 19:00:00,1309.0,634.0,14.21,750.0,6.27,4.0
3419,2022-07-31 20:00:00,2899.0,692.0,21.295,940.0,10.88,3.0
3426,2022-07-31 20:00:00,4374.0,552.0,27.1,895.0,17.59,2.0
3427,2022-07-31 20:00:00,1612.0,631.0,16.23,738.0,7.62,4.0
3434,2022-07-31 21:00:00,1845.0,685.0,16.35,831.0,7.97,4.0
3463,2022-08-01 07:00:00,2407.0,390.0,17.5,586.5,14.755,3.0
3733,2022-08-03 17:00:00,1722.0,445.0,29.37,582.0,10.63,3.0
3734,2022-08-03 17:00:00,1042.0,544.0,25.970001,643.0,6.295,4.0
3773,2022-08-03 18:00:00,1638.0,338.0,28.08,469.0,12.55,3.0
3774,2022-08-03 18:00:00,1205.0,341.0,26.59,438.0,9.885,4.0
3941,2022-08-05 06:00:00,686.0,448.0,24.974998,504.0,4.895,4.0
3944,2022-08-05 07:00:00,686.0,373.0,25.865002,428.5,5.86,4.0
4148,2022-08-06 15:00:00,2787.0,647.0,24.14,862.0,11.47,3.0
4149,2022-08-06 15:00:00,1504.0,723.0,20.87,806.0,5.47,4.0
4162,2022-08-06 16:00:00,2691.0,647.5,22.470001,858.0,11.35,3.0
4174,2022-08-06 16:00:00,864.0,478.5,9.735,547.5,5.4049997,4.0
4197,2022-08-06 17:00:00,1394.0,382.0,18.25,519.0,9.08,3.0
4198,2022-08-06 17:00:00,1037.0,418.0,15.73,508.0,7.66,4.0
4252,2022-08-06 19:00:00,1152.0,968.0,20.14,1020.0,3.85,4.0
4265,2022-08-06 20:00:00,1125.0,695.0,17.82,824.5,4.5950003,4.0
4277,2022-08-07 08:00:00,3014.0,484.0,29.23,742.0,14.61,3.0
4328,2022-08-07 18:00:00,2172.0,877.0,12.81,1044.0,7.48,4.0
4334,2022-08-07 18:00:00,4125.5,1038.5,17.74,1351.5,11.175,3.0
4336,2022-08-07 19:00:00,2476.0,698.0,17.6,890.0,10.4,3.0
4337,2022-08-07 19:00:00,1612.0,675.5,11.09,794.0,7.735,4.0
4354,2022-08-07 20:00:00,3511.0,446.0,22.73,724.0,17.45,2.0
4355,2022-08-07 20:00:00,2779.0,650.0,20.06,832.5,11.719999,3.0
4356,2022-08-07 20:00:00,1640.0,595.0,16.21,720.0,8.05,4.0
4631,2022-08-10 06:00:00,1171.0,528.0,16.66,662.0,6.49,4.0
4633,2022-08-10 06:00:00,1466.0,451.0,20.74,571.0,9.22,3.0
4649,2022-08-10 07:00:00,1318.5,438.5,18.765,547.0,9.46,3.0
4650,2022-08-10 07:00:00,1548.0,628.5,16.73,823.5,6.74,4.0
4673,2022-08-10 11:00:00,1080.0,336.0,27.76,421.0,9.22,3.0
4677,2022-08-10 12:00:00,3622.0,463.0,35.04,739.0,17.64,2.0
4678,2022-08-10 12:00:00,1309.0,357.0,29.06,459.0,10.25,3.0
5765,2022-08-16 20:00:00,3553.0,497.0,33.14,791.0,16.15,2.0
5766,2022-08-16 20:00:00,2511.0,404.0,31.395,614.0,14.03,3.0
5803,2022-08-16 21:00:00,1313.0,163.0,30.335,276.0,17.235,2.0
5804,2022-08-16 21:00:00,1927.0,309.0,30.32,473.0,13.21,3.0
5805,2022-08-16 21:00:00,607.0,309.0,26.630001,362.5,6.0150003,4.0
5968,2022-08-19 06:00:00,1304.0,360.0,16.81,539.0,8.7,3.0
5969,2022-08-19 06:00:00,1072.0,526.0,20.5,615.0,6.26,4.0
5980,2022-08-19 07:00:00,1072.0,344.0,20.87,435.0,8.95,3.0
5981,2022-08-19 07:00:00,1385.0,528.5,22.35,637.5,7.325,4.0
6079,2022-08-20 16:00:00,2201.0,1000.0,13.52,1177.0,7.01,4.0
6091,2022-08-20 17:00:00,1523.0,1098.0,18.42,1253.0,5.61,4.0
6106,2022-08-20 18:00:00,1523.0,421.0,24.064999,537.0,10.965,3.0
6107,2022-08-20 18:00:00,1685.0,746.5,23.18,910.5,6.95,4.0
6110,2022-08-20 19:00:00,1974.0,381.0,17.28,537.0,13.21,3.0
6111,2022-08-20 19:00:00,686.0,479.0,12.03,534.0,6.46,4.0
