time,type
2022-07-06 09:00:00,JAM
2022-07-06 10:00:00,JAM
2022-07-06 15:00:00,WEATHERHAZARD
2022-07-06 16:00:00,JAM
2022-07-06 16:00:00,WEATHERHAZARD
2022-07-06 17:00:00,JAM
2022-07-06 19:00:00,JAM
2022-07-06 20:00:00,JAM
2022-07-07 18:00:00,JAM
2022-07-07 19:00:00,JAM
2022-07-07 19:00:00,WEATHERHAZARD
2022-07-07 20:00:00,JAM
2022-07-07 21:00:00,JAM
2022-07-08 11:00:00,JAM
2022-07-08 12:00:00,JAM
2022-07-08 13:00:00,JAM
2022-07-08 14:00:00,JAM
2022-07-08 15:00:00,JAM
2022-07-08 20:00:00,JAM
2022-07-08 21:00:00,JAM
2022-07-09 15:00:00,JAM
2022-07-09 16:00:00,JAM
2022-07-09 17:00:00,JAM
2022-07-10 11:00:00,JAM
2022-07-10 13:00:00,JAM
2022-07-10 14:00:00,JAM
2022-07-10 17:00:00,JAM
2022-07-10 18:00:00,JAM
2022-07-10 19:00:00,JAM
2022-07-11 18:00:00,JAM
2022-07-11 19:00:00,JAM
2022-07-12 05:00:00,JAM
2022-07-12 06:00:00,JAM
2022-07-12 07:00:00,JAM
2022-07-12 11:00:00,JAM
2022-07-12 12:00:00,JAM
2022-07-12 15:00:00,JAM
2022-07-12 16:00:00,JAM
2022-07-12 17:00:00,JAM
2022-07-12 21:00:00,JAM
2022-07-13 14:00:00,JAM
2022-07-13 15:00:00,JAM
2022-07-13 16:00:00,JAM
2022-07-13 17:00:00,JAM
2022-07-13 22:00:00,JAM
2022-07-13 23:00:00,JAM
2022-07-14 11:00:00,JAM
2022-07-14 14:00:00,JAM
2022-07-14 19:00:00,JAM
2022-07-14 20:00:00,JAM
2022-07-15 16:00:00,JAM
2022-07-15 17:00:00,JAM
2022-07-15 18:00:00,JAM
2022-07-15 19:00:00,JAM
2022-07-15 20:00:00,JAM
2022-07-15 21:00:00,JAM
2022-07-15 22:00:00,JAM
2022-07-16 02:00:00,ACCIDENT
2022-07-16 03:00:00,ACCIDENT
2022-07-16 04:00:00,ACCIDENT
2022-07-16 11:00:00,JAM
2022-07-16 12:00:00,JAM
2022-07-16 13:00:00,JAM
2022-07-16 14:00:00,JAM
2022-07-16 15:00:00,JAM
2022-07-16 16:00:00,JAM
2022-07-16 17:00:00,JAM
2022-07-16 18:00:00,JAM
2022-07-16 19:00:00,JAM
2022-07-16 20:00:00,JAM
2022-07-16 22:00:00,JAM
2022-07-17 11:00:00,JAM
2022-07-17 12:00:00,JAM
2022-07-17 14:00:00,JAM
2022-07-17 15:00:00,JAM
2022-07-17 16:00:00,JAM
2022-07-17 17:00:00,JAM
2022-07-17 18:00:00,JAM
2022-07-18 07:00:00,JAM
2022-07-18 08:00:00,JAM
2022-07-18 18:00:00,JAM
2022-07-18 19:00:00,JAM
2022-07-18 20:00:00,JAM
2022-07-19 11:00:00,WEATHERHAZARD
2022-07-19 19:00:00,JAM
2022-07-21 12:00:00,JAM
2022-07-21 18:00:00,JAM
2022-07-21 20:00:00,JAM
2022-07-22 14:00:00,JAM
2022-07-22 15:00:00,JAM
2022-07-22 17:00:00,JAM
2022-07-22 18:00:00,JAM
2022-07-23 09:00:00,JAM
